lp,currency,code,from,to,avg,min,max,median
1,Euro,eur,2019-07-25,2019-08-25,4.32,4.24,4.39,4.31
2,Dolar Amerykański,usd,2019-07-25,2019-08-25,3.92,3.84,3.96,3.93
